Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Chopera;Arganzuela;House;Private room;2;1.0;1.0;Real Bed;300.0;20.0;1;10;0;24.0;11;1
Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;16;0
Embajadores;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;15.0;1;5;2;25.0;10;0
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;400.0;0.0;1;0;1;45.0;11;1
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;20.0;2;10;2;65.0;15;1
Casa de Campo;Moncloa - Aravaca;Bed & Breakfast;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;9;1;15.0;18;0
Numancia;Puente de Vallecas;Other;Private room;1;1.0;1.0;Real Bed;0.0;5.0;1;0;0;20.0;13;0
Abrantes;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;0;1;20.0;11;0
Apostol Santiago;Hortaleza;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;36.0;14;0
Justicia;Centro;Loft;Entire home/apt;4;1.5;1.0;Real Bed;0.0;15.0;2;25;1;96.0;17;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;5;0;80.0;14;0
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;2;60.0;0;0
Casco Histórico de Vicálvaro;Vicálvaro;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;15.0;6;0
Justicia;Centro;Apartment;Shared room;2;1.0;1.0;Real Bed;0.0;5.0;2;15;2;40.0;10;0
Universidad;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;0;0
Almenara;Tetuán;House;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;10;0;25.0;16;0
San Diego;Puente de Vallecas;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;140.0;0.0;1;0;0;36.0;9;1
San Fermín;Usera;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;10.0;1;0;2;24.0;6;0
Goya;Salamanca;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;25;0;35.0;17;0
Goya;Salamanca;Apartment;Entire home/apt;16;4.5;8.0;Real Bed;200.0;60.0;12;25;2;399.0;21;1
Justicia;Centro;House;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;5;1;25.0;12;0
Pilar;Fuencarral - El Pardo;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;150.0;0.0;1;0;1;74.0;16;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;25.0;2;20;1;45.0;12;1
Lista;Salamanca;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;250.0;15.0;1;25;2;50.0;13;1
Justicia;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;150.0;30.0;6;0;1;195.0;13;1
Bellas Vistas;Tetuán;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;60.0;2;5;1;31.0;7;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;50.0;1;0;0;120.0;12;1
Comillas;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;5;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;10;0
Embajadores;Centro;House;Entire home/apt;5;1.0;3.0;Real Bed;90.0;50.0;4;20;1;95.0;18;1
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;250.0;35.0;1;12;2;61.0;18;1
Rios Rosas;Chamberí;Other;Private room;2;1.5;1.0;Real Bed;150.0;0.0;1;0;0;50.0;11;1
Fontarrón;Moratalaz;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;5;1;22.0;5;0
Trafalgar;Chamberí;Apartment;Private room;3;2.0;1.0;Real Bed;0.0;0.0;1;14;1;48.0;18;0
Universidad;Centro;Loft;Entire home/apt;3;1.0;0.0;Real Bed;100.0;25.0;2;15;1;45.0;21;1
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;0;60.0;15;0
Sol;Centro;Apartment;Entire home/apt;5;1.0;1.0;Real Bed;0.0;25.0;2;15;2;85.0;15;0
Costillares;Ciudad Lineal;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;21.0;0;0
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;20.0;2;8;2;88.0;11;0
Castellana;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;188.0;23.0;1;19;1;42.0;19;1
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;150.0;35.0;4;16;2;100.0;19;1
Universidad;Centro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;100.0;0.0;2;12;2;56.0;12;1
Palacio;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;0.0;30.0;4;21;2;100.0;21;0
Universidad;Centro;Bed & Breakfast;Private room;3;1.0;1.0;Real Bed;150.0;15.0;1;15;1;25.0;12;1
Justicia;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;10;1;40.0;12;0
Trafalgar;Chamberí;Apartment;Shared room;4;1.0;1.0;Real Bed;0.0;25.0;1;30;2;28.0;18;0
Abrantes;Carabanchel;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;0.0;1;0;0;25.0;11;0
Argüelles;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;26.0;7;0
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;30.0;4;20;0;80.0;14;0
Embajadores;Centro;Apartment;Shared room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;20.0;10;0
Embajadores;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;6;0
Goya;Salamanca;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;34.0;7;0
Guindalera;Salamanca;Apartment;Private room;1;1.0;0.0;Real Bed;0.0;0.0;1;0;2;18.0;7;0
Cuatro Caminos;Tetuán;Apartment;Private room;2;0.0;1.0;Real Bed;0.0;0.0;1;20;0;40.0;12;0
Embajadores;Centro;Bed & Breakfast;Private room;2;1.0;1.0;Real Bed;0.0;40.0;2;10;1;50.0;18;0
Cuatro Caminos;Tetuán;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;45.0;8;0
Palacio;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;702.0;23.0;2;12;2;38.0;18;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;30.0;2;15;1;70.0;15;1
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;30.0;1;0;0;60.0;25;1
Cortes;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;68.0;1;0;2;100.0;15;0
Palos de Moguer;Arganzuela;Apartment;Private room;2;2.5;1.0;Real Bed;0.0;0.0;1;8;2;32.0;12;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;0;0;45.0;10;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;25.0;2;15;2;50.0;17;1
Gaztambide;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;15;0;60.0;10;0
Embajadores;Centro;Apartment;Entire home/apt;7;1.0;2.0;Real Bed;0.0;0.0;3;15;1;60.0;10;0
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;150.0;0.0;2;10;1;70.0;10;1
San Diego;Puente de Vallecas;Apartment;Private room;2;1.0;1.0;Real Bed;90.0;0.0;1;5;0;15.0;11;1
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;30.0;2;5;0;68.0;16;1
Trafalgar;Chamberí;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;0.0;0.0;2;5;0;125.0;19;0
Moscardó;Usera;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;22.0;16;0
Portazgo;Puente de Vallecas;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;12.0;5;0
Sol;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;150.0;28.0;2;30;2;75.0;16;1
Justicia;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;30.0;1;0;1;185.0;13;1
Valverde;Fuencarral - El Pardo;Condominium;Entire home/apt;5;1.0;3.0;Real Bed;0.0;20.0;4;0;0;95.0;16;0
Cortes;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;0.0;0.0;1;0;0;89.0;14;0
Embajadores;Centro;House;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;45.0;14;0
Embajadores;Centro;House;Private room;2;0.5;1.0;Real Bed;0.0;10.0;1;10;2;30.0;7;0
Embajadores;Centro;Apartment;Private room;2;2.0;1.0;Real Bed;0.0;15.0;1;5;2;20.0;10;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Futon;200.0;30.0;1;0;2;50.0;15;1
Vista Alegre;Carabanchel;Apartment;Private room;1;1.0;1.0;Real Bed;90.0;5.0;1;0;0;20.0;10;1
Goya;Salamanca;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;300.0;35.0;1;0;1;88.0;11;1
Jerónimos;Retiro;House;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;45.0;17;0
Sol;Centro;Apartment;Private room;2;5.0;1.0;Real Bed;200.0;0.0;1;0;2;32.0;16;1
Valdefuentes;Hortaleza;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;18;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;150.0;35.0;1;0;1;34.0;11;1
Justicia;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;20.0;1;10;0;19.0;10;0
Fuente del Berro;Salamanca;Condominium;Private room;2;1.0;1.0;Pull-out Sofa;200.0;12.0;1;12;2;25.0;21;1
Justicia;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;10.0;1;0;2;20.0;13;0
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;250.0;15.0;2;10;2;81.0;15;1
Sol;Centro;Apartment;Private room;1;5.0;1.0;Real Bed;200.0;0.0;1;0;2;23.0;17;1
Goya;Salamanca;Apartment;Entire home/apt;5;2.0;3.0;Real Bed;0.0;0.0;1;0;1;220.0;11;0
Cortes;Centro;Condominium;Entire home/apt;4;1.0;2.0;Real Bed;175.0;50.0;1;0;1;110.0;17;1
Justicia;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;300.0;95.0;4;15;2;185.0;15;1
Palacio;Centro;Apartment;Entire home/apt;5;2.5;3.0;Real Bed;200.0;40.0;4;15;2;128.0;21;1
Entrevías;Puente de Vallecas;Apartment;Private room;4;1.0;1.0;Real Bed;300.0;0.0;2;0;2;48.0;7;1
Palacio;Centro;House;Entire home/apt;6;1.0;2.0;Real Bed;100.0;0.0;4;20;0;105.0;13;1
Rejas;San Blas - Canillejas;Condominium;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;65.0;28;0
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;0.0;30.0;1;15;1;250.0;19;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;25.0;2;0;2;43.0;22;0
Trafalgar;Chamberí;Apartment;Private room;9;3.0;4.0;Real Bed;100.0;20.0;1;22;2;23.0;26;1
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;22.0;8;0
Buenavista;Carabanchel;Apartment;Entire home/apt;5;1.0;3.0;Real Bed;0.0;0.0;1;0;2;85.0;12;0
Sol;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;80.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;12.0;2;20;2;50.0;17;0
Quintana;Ciudad Lineal;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;2;20;0;55.0;12;0
Sol;Centro;Apartment;Entire home/apt;4;1.5;1.0;Real Bed;100.0;20.0;2;25;2;75.0;14;1
Sol;Centro;Apartment;Entire home/apt;2;1.0;1.0;Pull-out Sofa;0.0;0.0;1;0;2;71.0;16;0
Comillas;Carabanchel;Apartment;Private room;2;1.0;2.0;Real Bed;0.0;0.0;1;7;0;23.0;11;0
Vista Alegre;Carabanchel;Apartment;Shared room;1;1.0;1.0;Real Bed;0.0;5.0;1;10;1;10.0;23;0
Arapiles;Chamberí;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;25.0;13;0
Cortes;Centro;Condominium;Entire home/apt;3;1.0;1.0;Real Bed;150.0;30.0;2;15;1;79.0;23;1
Universidad;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;150.0;37.0;3;10;2;127.0;11;1
Embajadores;Centro;Apartment;Entire home/apt;6;1.5;3.0;Real Bed;400.0;80.0;2;10;2;195.0;20;1
Acacias;Arganzuela;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;200.0;0.0;2;20;2;65.0;11;1
Trafalgar;Chamberí;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;1;19.0;8;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;0;1;29.0;10;0
Prosperidad;Chamartín;Loft;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;1;50.0;16;0
Trafalgar;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;15.0;1;0;0;39.0;15;0
Universidad;Centro;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;5.0;2;8;2;45.0;11;0
Delicias;Arganzuela;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;20.0;2;5;1;45.0;11;0
Sol;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;30.0;1;30;1;60.0;12;1
Sol;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;40.0;13;0
San Diego;Puente de Vallecas;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;12;0;45.0;19;0
Palacio;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;30.0;2;10;0;85.0;18;1
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;2;0
Pacífico;Retiro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;0.0;0.0;2;10;2;90.0;12;0
Embajadores;Centro;Apartment;Private room;2;4.0;1.0;Real Bed;0.0;15.0;1;5;2;25.0;9;0
Justicia;Centro;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;200.0;60.0;2;15;2;90.0;19;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;2;35.0;12;0
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;3;1.0;4.0;Real Bed;100.0;30.0;1;15;0;50.0;7;1
Sol;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;150.0;30.0;2;15;2;109.0;9;1
Sol;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;25.0;11;0
Trafalgar;Chamberí;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;100.0;25.0;2;15;2;73.0;18;1
Numancia;Puente de Vallecas;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;2;10;0;40.0;9;0
Vallehermoso;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;30.0;1;0;2;49.0;9;0
Universidad;Centro;Apartment;Entire home/apt;4;2.5;2.0;Real Bed;750.0;75.0;2;25;2;135.0;21;1
Palos de Moguer;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;42.0;11;0
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;6;2.0;3.0;Real Bed;0.0;35.0;1;0;2;169.0;12;0
Justicia;Centro;Apartment;Entire home/apt;4;1.0;0.0;Real Bed;0.0;0.0;1;5;0;89.0;13;0
Fontarrón;Moratalaz;Apartment;Entire home/apt;1;1.0;1.0;Real Bed;100.0;0.0;1;0;2;20.0;10;1
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;9;1;18.0;14;0
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;30.0;1;0;1;79.0;10;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;25.0;2;10;1;54.0;14;1
Cortes;Centro;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;200.0;50.0;1;0;2;90.0;16;1
Sol;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;50.0;2;20;1;85.0;14;0
Concepción;Ciudad Lineal;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;10.0;1;0;2;25.0;21;0
Argüelles;Moncloa - Aravaca;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;10;0;25.0;14;0
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;1;0;0;69.0;17;0
San Juan Bautista;Ciudad Lineal;Other;Entire home/apt;4;2.0;2.0;Real Bed;0.0;0.0;1;0;0;95.0;14;0
Berruguete;Tetuán;Apartment;Private room;4;1.0;1.0;Real Bed;0.0;0.0;2;10;0;35.0;21;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;0.0;1;0;1;44.0;13;0
Palacio;Centro;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;400.0;25.0;1;10;2;45.0;14;1
Trafalgar;Chamberí;Other;Private room;2;1.0;1.0;Real Bed;0.0;22.0;1;0;0;29.0;8;0
Recoletos;Salamanca;Apartment;Entire home/apt;9;4.5;5.0;Real Bed;0.0;75.0;1;0;1;595.0;25;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;1;65.0;17;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Futon;0.0;30.0;1;0;1;59.0;7;0
Palacio;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;50.0;2;11;0;110.0;14;0
Palacio;Centro;Loft;Entire home/apt;3;1.0;0.0;Real Bed;0.0;20.0;2;10;1;60.0;21;0
Rios Rosas;Chamberí;House;Private room;1;1.0;1.0;Real Bed;90.0;10.0;1;0;1;32.0;8;1
San Isidro;Carabanchel;Loft;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;55.0;16;0
Canillas;Hortaleza;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;8;0;20.0;5;0
Comillas;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;100.0;0.0;1;12;0;21.0;12;1
Argüelles;Moncloa - Aravaca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;15.0;2;10;1;50.0;16;0
Valverde;Fuencarral - El Pardo;Other;Entire home/apt;2;1.0;1.0;Real Bed;200.0;10.0;1;20;0;50.0;19;1
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;12.0;1;0;1;42.0;10;0
Universidad;Centro;Loft;Entire home/apt;6;2.0;2.0;Real Bed;0.0;35.0;2;15;1;80.0;12;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;20.0;2;15;2;65.0;9;1
Numancia;Puente de Vallecas;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;2;58.0;12;0
Sol;Centro;Condominium;Entire home/apt;8;2.0;2.0;Real Bed;500.0;0.0;4;20;2;155.0;21;1
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;0.0;20.0;1;0;2;60.0;8;0
Castellana;Salamanca;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;0.0;20.0;1;0;0;88.0;16;0
Prosperidad;Chamartín;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;8.0;1;10;1;24.0;17;0
Rios Rosas;Chamberí;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;900.0;25.0;2;0;2;46.0;15;1
Cortes;Centro;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;200.0;35.0;2;15;2;65.0;14;1
Sol;Centro;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;200.0;20.0;1;0;2;115.0;6;1
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;30.0;2;10;1;55.0;18;1
Palacio;Centro;Apartment;Entire home/apt;7;2.0;3.0;Real Bed;200.0;50.0;4;10;2;165.0;15;1
Lista;Salamanca;House;Private room;4;1.0;1.0;Real Bed;0.0;0.0;1;8;1;22.0;14;0
Aluche;Latina;House;Private room;3;1.0;1.0;Real Bed;0.0;0.0;1;28;0;38.0;9;0
Portazgo;Puente de Vallecas;Apartment;Shared room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;0;30.0;11;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;65.0;14;0
Recoletos;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;299.0;49.0;2;19;2;78.0;16;1
Vista Alegre;Carabanchel;Condominium;Private room;4;1.0;1.0;Real Bed;0.0;0.0;1;10;2;25.0;19;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;200.0;50.0;1;0;2;109.0;14;1
Almendrales;Usera;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;5.0;1;0;0;40.0;14;0
Puerta del Angel;Latina;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;1;20.0;15;0
Justicia;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;100.0;8.0;1;0;1;26.0;10;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;0.0;Real Bed;100.0;30.0;1;0;1;80.0;15;1
Casa de Campo;Moncloa - Aravaca;Apartment;Entire home/apt;6;1.0;2.0;Real Bed;150.0;30.0;3;25;1;115.0;17;1
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;15;2;35.0;6;0
Comillas;Carabanchel;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;2;19.0;10;0
Apostol Santiago;Hortaleza;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;7.0;1;8;0;17.0;6;0
Comillas;Carabanchel;Other;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;10;1;24.0;14;0
Sol;Centro;Apartment;Private room;1;3.0;1.0;Real Bed;200.0;30.0;1;0;2;35.0;7;1
Justicia;Centro;Apartment;Entire home/apt;10;2.0;4.0;Real Bed;200.0;70.0;2;20;2;180.0;16;1
Embajadores;Centro;Apartment;Private room;1;1.5;1.0;Real Bed;0.0;0.0;1;0;0;27.0;8;0
Embajadores;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;118.0;25.0;1;0;1;45.0;11;1
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;15.0;1;10;1;65.0;17;1
Arapiles;Chamberí;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;0.0;2;12;2;65.0;16;1
Acacias;Arganzuela;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;0;16.0;18;0
Justicia;Centro;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;190.0;30.0;2;40;1;79.0;10;1
Universidad;Centro;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;150.0;100.0;2;5;1;44.0;6;1
Hispanoamérica;Chamartín;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;200.0;50.0;2;20;2;120.0;23;1
Embajadores;Centro;Apartment;Entire home/apt;9;3.0;4.0;Real Bed;300.0;40.0;4;20;1;190.0;12;1
Palacio;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;200.0;30.0;1;0;2;32.0;9;1
Almenara;Tetuán;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;10;1;29.0;21;0
Palacio;Centro;Apartment;Entire home/apt;2;0.0;1.0;Real Bed;0.0;20.0;1;0;2;39.0;0;0
Jerónimos;Retiro;Apartment;Private room;2;1.0;1.0;Real Bed;150.0;22.0;1;0;0;52.0;19;1
Acacias;Arganzuela;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;25.0;1;0;0;75.0;22;0
Cortes;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;100.0;20.0;1;0;2;80.0;14;1
Cortes;Centro;Apartment;Entire home/apt;4;2.0;1.0;Real Bed;0.0;0.0;2;25;2;98.0;15;0
Universidad;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;10;2;34.0;14;0
Cuatro Caminos;Tetuán;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;300.0;25.0;2;15;2;45.0;14;1
Universidad;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;76.0;13;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;35.0;1;5;1;59.0;19;1
Concepción;Ciudad Lineal;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;8.0;1;10;1;35.0;9;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;40.0;2;20;2;85.0;16;1
Universidad;Centro;Apartment;Entire home/apt;6;2.0;2.0;Real Bed;300.0;35.0;4;5;2;95.0;18;1
Sol;Centro;Condominium;Private room;2;1.0;1.0;Real Bed;0.0;30.0;1;0;2;28.0;14;0
Justicia;Centro;Apartment;Entire home/apt;2;1.0;0.0;Pull-out Sofa;0.0;25.0;1;0;1;43.0;12;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;150.0;20.0;1;45;2;80.0;17;1
Arapiles;Chamberí;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;100.0;20.0;1;0;2;37.0;17;1
Adelfas;Retiro;Other;Entire home/apt;2;1.0;1.0;Real Bed;300.0;0.0;2;0;1;79.0;17;1
Adelfas;Retiro;Apartment;Private room;4;2.0;1.0;Real Bed;150.0;15.0;1;40;1;80.0;16;1
Moscardó;Usera;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;2;37.0;9;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;30.0;2;0;2;59.0;12;0
Opañel;Carabanchel;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;5;2;22.0;13;0
Casco Histórico de Vallecas;Villa de Vallecas;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;10.0;1;0;2;42.0;23;0
