Neighbourhood Cleansed;Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Bed Type;Security Deposit;Cleaning Fee;Guests Included;Extra People;Cancellation Policy;Price;Amenities Count;Security Deposit Mandatory
Universidad;Centro;Apartment;Entire home/apt;1;1.0;1.0;Real Bed;150.0;70.0;2;15;2;124.0;15;1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;3;1.0;2.0;Real Bed;0.0;0.0;1;0;1;65.0;16;0
Cortes;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;7.0;1;0;0;42.0;23;0
Universidad;Centro;House;Entire home/apt;12;2.5;6.0;Real Bed;150.0;50.0;8;0;0;190.0;16;1
Justicia;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;100.0;30.0;1;30;2;61.0;27;1
Recoletos;Salamanca;Apartment;Entire home/apt;8;1.5;4.0;Real Bed;150.0;40.0;4;15;2;218.0;10;1
Palacio;Centro;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;18.0;1;0;1;45.0;16;0
Universidad;Centro;Loft;Entire home/apt;2;1.0;0.0;Real Bed;100.0;20.0;1;0;0;50.0;13;1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;0;0;50.0;13;0
Arapiles;Chamberí;Apartment;Entire home/apt;3;1.0;0.0;Real Bed;0.0;0.0;1;0;2;60.0;9;0
Palacio;Centro;Apartment;Private room;1;2.0;1.0;Real Bed;0.0;0.0;1;0;0;28.0;8;0
Embajadores;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;30.0;2;15;1;65.0;12;0
Embajadores;Centro;Apartment;Private room;1;1.0;1.0;Real Bed;0.0;0.0;2;0;1;24.0;11;0
Sol;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;20.0;2;15;2;84.0;15;0
Ciudad Universitaria;Moncloa - Aravaca;House;Entire home/apt;14;6.0;7.0;Real Bed;0.0;500.0;1;0;2;750.0;16;0
Embajadores;Centro;Apartment;Entire home/apt;4;2.0;2.0;Real Bed;200.0;30.0;1;0;0;110.0;19;1
San Pascual;Ciudad Lineal;Apartment;Private room;1;1.0;2.0;Real Bed;0.0;0.0;1;0;0;22.0;11;0
Mirasierra;Fuencarral - El Pardo;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;25.0;1;0;0;65.0;19;0
Embajadores;Centro;House;Private room;1;1.0;1.0;Real Bed;0.0;0.0;1;0;1;34.0;12;0
Universidad;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;300.0;30.0;2;10;1;60.0;16;1
Justicia;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;0;1;32.0;8;0
Goya;Salamanca;Bed & Breakfast;Private room;2;3.0;1.0;Real Bed;100.0;0.0;1;0;2;35.0;26;1
Ciudad Universitaria;Moncloa - Aravaca;Apartment;Private room;2;1.0;1.0;Real Bed;0.0;15.0;1;25;0;39.0;10;0
Puerta del Angel;Latina;Apartment;Entire home/apt;4;1.0;2.0;Real Bed;150.0;80.0;3;5;1;45.0;8;1
Trafalgar;Chamberí;Apartment;Entire home/apt;3;2.0;2.0;Real Bed;0.0;0.0;1;0;0;200.0;6;0
Guindalera;Salamanca;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;150.0;10.0;1;0;1;65.0;14;1
Berruguete;Tetuán;Apartment;Entire home/apt;5;1.0;2.0;Real Bed;0.0;20.0;1;0;2;58.0;14;0
Fuente del Berro;Salamanca;Apartment;Entire home/apt;2;1.0;1.0;Real Bed;0.0;0.0;1;0;0;71.0;11;0
Universidad;Centro;Apartment;Entire home/apt;4;1.5;1.0;Real Bed;0.0;40.0;2;20;2;100.0;19;0
Sol;Centro;Apartment;Entire home/apt;7;3.0;3.0;Real Bed;150.0;0.0;7;50;2;340.0;15;1
Palos de Moguer;Arganzuela;Apartment;Entire home/apt;5;2.0;2.0;Real Bed;100.0;0.0;1;0;0;105.0;13;1
Palacio;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;20.0;2;10;1;60.0;16;0
Universidad;Centro;Apartment;Entire home/apt;3;1.0;1.0;Real Bed;0.0;0.0;1;20;2;48.0;18;0
Universidad;Centro;Bed & Breakfast;Private room;2;2.0;1.0;Real Bed;0.0;10.0;1;10;2;42.0;23;0
Palacio;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;10.0;1;0;1;40.0;15;0
Gaztambide;Chamberí;Apartment;Private room;2;1.5;1.0;Real Bed;0.0;0.0;1;0;0;30.0;12;0
Palacio;Centro;Apartment;Entire home/apt;4;1.5;2.0;Real Bed;250.0;20.0;2;25;2;50.0;12;1
Numancia;Puente de Vallecas;Condominium;Entire home/apt;4;1.0;2.0;Real Bed;0.0;0.0;1;0;0;75.0;13;0
San Diego;Puente de Vallecas;House;Private room;2;1.0;1.0;Real Bed;0.0;5.0;1;0;2;17.0;7;0
Justicia;Centro;House;Private room;2;1.0;1.0;Real Bed;0.0;0.0;1;0;2;50.0;10;0
Cortes;Centro;Apartment;Private room;2;1.0;1.0;Real Bed;250.0;15.0;1;0;2;65.0;17;1
Embajadores;Centro;Apartment;Entire home/apt;4;1.0;1.0;Real Bed;0.0;0.0;1;0;0;60.0;11;0
